route_name,dir_id,day_type_id,day_type_name,time_period_name,stop_name,average_ons,average_offs,average_flow,ObjectId
Orange Line,SB,day_type_01,Weekday,EARLY_AM,North Station,226,268,1262,416
Orange Line,NB,day_type_01,Weekday,EVENING,Stony Brook,171,40,837,417
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Oak Grove,421,0,421,418
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Roxbury Crossing,13,104,221,419
Orange Line,NB,day_type_01,Weekday,EVENING,Sullivan Square,127,660,3127,420
Orange Line,SB,day_type_01,Weekday,NIGHT,Green Street,0,43,127,421
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Ruggles,22,151,341,422
Orange Line,NB,day_type_01,Weekday,EVENING,Tufts Medical Center,437,108,2872,423
Orange Line,SB,day_type_01,Weekday,NIGHT,Haymarket,27,5,147,424
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Green Street,1339,86,5769,425
Orange Line,SB,day_type_01,Weekday,EARLY_AM,State,473,186,1575,426
Orange Line,NB,day_type_01,Weekday,EVENING,Wellington,47,680,2349,427
Orange Line,SB,day_type_01,Weekday,NIGHT,Jackson Square,4,72,207,428
Orange Line,SB,day_type_03,Sunday,OFF_PEAK,Stony Brook,92,1368,4130,429
Red Line,NB,day_type_01,Weekday,AM_PEAK,Ashmont,1253,0,1253,430
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Haymarket,1201,1917,12612,431
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Jackson Square,2256,246,9142,432
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Malden Center,82,4026,2471,433
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Massachusetts Avenue,1965,1058,12134,434
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,North Station,3343,2585,13370,435
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Oak Grove,0,2472,0,436
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Roxbury Crossing,1655,364,10433,437
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Ruggles,1199,396,11227,438
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,State,2374,4262,13329,439
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Stony Brook,1527,164,7132,440
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Sullivan Square,524,2575,10592,441
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Tufts Medical Center,1709,788,14683,442
Orange Line,NB,day_type_02,Saturday,OFF_PEAK,Wellington,193,2075,6415,443
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Assembly,627,2377,6062,444
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Back Bay,2927,1571,9975,445
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Chinatown,1514,938,11148,446
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Community College,257,766,9373,447
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Downtown Crossing,3125,3193,11080,448
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Forest Hills,3194,0,3194,449
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Green Street,908,58,4044,450
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Haymarket,760,1334,9282,451
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Jackson Square,1777,186,6640,452
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Malden Center,58,3033,1756,453
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Massachusetts Avenue,1369,796,8619,454
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,North Station,2573,1972,9883,455
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Oak Grove,0,1756,0,456
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Roxbury Crossing,1174,270,7543,457
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Ruggles,812,310,8045,458
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,State,1594,2817,9856,459
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Stony Brook,1119,114,5049,460
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Sullivan Square,389,1949,7813,461
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Tufts Medical Center,1253,656,10572,462
Orange Line,NB,day_type_03,Sunday,OFF_PEAK,Wellington,151,1481,4731,463
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Assembly,26,13,471,464
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Back Bay,5,87,193,465
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Chinatown,7,37,383,466
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Community College,24,17,633,467
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Downtown Crossing,34,172,414,468
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Forest Hills,0,33,0,469
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Green Street,0,7,41,470
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Haymarket,31,22,473,471
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Jackson Square,9,13,68,472
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Malden Center,249,2,356,473
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Massachusetts Avenue,7,26,146,474
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,North Station,66,116,510,475
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Oak Grove,137,0,137,476
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Roxbury Crossing,4,30,77,477
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Ruggles,5,38,110,478
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,State,173,69,557,479
Orange Line,SB,day_type_01,Weekday,PM_PEAK,Stony Brook,42,773,2515,480
Orange Line,SB,day_type_01,Weekday,MIDDAY_BASE,Green Street,5,293,889,481
